statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2017-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT000;unter 1 Jahr;785074;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2020-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT063;63-Jährige;1113442;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2019-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT073;73-Jährige;648189;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2017-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT046;46-Jährige;1138293;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2016-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT011;11-Jährige;725080;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT015;15-Jährige;782622;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2016-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);;Insgesamt;82521653;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2018-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT042;42-Jährige;966513;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2016-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT057;57-Jährige;1254555;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2015-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT026;26-Jährige;1069607;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;ALT013;Altersjahre (u1-85m);ALT026;26-Jährige;960813;Anzahl;BEVSTD;Bevölkerungsstand
